date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:58	40944/40944	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Feb%202020%2011:45:33%20GMT	https://www.vinayakautomation.com/	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/index.html	(from )
14:20:58	355/355	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Apr%202021%2010:21:22%20GMT	https://www.vinayakautomation.com/robots.txt		(from )
14:20:59	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Fri,%2009%20Apr%202021%2010:21:22%20GMT	https://www.vinayakautomation.com/apple-touch-icon.html	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/apple-touch-icon.0.delayed	(from https://www.vinayakautomation.com/)
14:20:59	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Fri,%2009%20Apr%202021%2010:21:22%20GMT	https://www.vinayakautomation.com/images/fav.png	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/images/fav.1.delayed	(from https://www.vinayakautomation.com/)
14:21:00	121215/121215	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/css/bootstrap.min.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/css/bootstrap.min.css	(from https://www.vinayakautomation.com/)
14:21:00	31024/31024	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/css/font-awesome.min.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/css/font-awesome.min.css	(from https://www.vinayakautomation.com/)
14:21:00	70824/70824	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/css/animate.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/css/animate.css	(from https://www.vinayakautomation.com/)
14:21:00	4029/4029	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/css/owl.carousel.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/css/owl.carousel.css	(from https://www.vinayakautomation.com/)
14:21:01	1729/1729	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/css/slick.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/css/slick.css	(from https://www.vinayakautomation.com/)
14:21:01	15260/15260	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/css/rsmenu-main.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/css/rsmenu-main.css	(from https://www.vinayakautomation.com/)
14:21:02	644/644	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/css/rsmenu-transitions.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/css/rsmenu-transitions.css	(from https://www.vinayakautomation.com/)
14:21:02	6951/6951	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/css/magnific-popup.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/css/magnific-popup.css	(from https://www.vinayakautomation.com/)
14:21:03	1352/1352	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/fonts/flaticon.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/fonts/flaticon.css	(from https://www.vinayakautomation.com/)
14:21:03	922/922	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/fonts/fonts2/flaticon.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/fonts/fonts2/flaticon.css	(from https://www.vinayakautomation.com/)
14:21:03	214792/214792	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Feb%202020%2012:52:04%20GMT	https://www.vinayakautomation.com/style.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/style.css	(from https://www.vinayakautomation.com/)
14:21:04	24252/24252	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202020%2006:16:43%20GMT	https://www.vinayakautomation.com/css/responsive.css	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/css/responsive.css	(from https://www.vinayakautomation.com/)
14:21:04	40944/40944	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Feb%202020%2011:45:33%20GMT	https://www.vinayakautomation.com/index.html	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/index-2.html	(from https://www.vinayakautomation.com/)
14:21:04	11157/11157	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/images/vinayak-automation-products-logo-1.png	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/images/vinayak-automation-products-logo-1.png	(from https://www.vinayakautomation.com/)
14:21:05	25186/25186	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jan%202020%2005:31:40%20GMT	https://www.vinayakautomation.com/images/vinayak-automation.png	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/images/vinayak-automation.png	(from https://www.vinayakautomation.com/)
14:21:05	19470/19470	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Feb%202020%2011:21:10%20GMT	https://www.vinayakautomation.com/about.html	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/about.html	(from https://www.vinayakautomation.com/)
14:21:05	24580/24580	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Feb%202020%2011:25:53%20GMT	https://www.vinayakautomation.com/products.html	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/products.html	(from https://www.vinayakautomation.com/)
14:21:06	32778/32778	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Feb%202020%2005:10:17%20GMT	https://www.vinayakautomation.com/drives-and-automation.html	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/drives-and-automation.html	(from https://www.vinayakautomation.com/)
14:21:06	30641/30641	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Feb%202020%2012:54:23%20GMT	https://www.vinayakautomation.com/industrial-automation-solution.html	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/industrial-automation-solution.html	(from https://www.vinayakautomation.com/)
14:21:06	24059/24059	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Feb%202020%2012:56:49%20GMT	https://www.vinayakautomation.com/control-and-power-products.html	C:/My%20Web%20Sites/VinayakAutomationProducts/www.vinayakautomation.com/control-and-power-products.html	(from https://www.vinayakautomation.com/)
